ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price,type_of_engine,engine_capacity,normalised_mileage,normalised_engine_capacity,normalised_num_of_doors,normalised_seating_capacity,normalised_fuel_consumption,normalised_price
4492609,imported,new car,4x4,0,different color,black,4,5,electronic oil injection,automatic,4wd - four-wheel drive (4wd),8.0,isuzu,dmax,2022.0,Isuzu Dmax Type Z 1.9L 4x4 AT 2022,34008.17289,diesel,1.9,0.0,0.46,0.33,0.21,0.62,0.84
4492695,imported,used car,4x4,25000,white,black,4,5,electronic oil injection,automatic,4wd - four-wheel drive (4wd),7.0,ford,ranger,2020.0,Ford Ranger Raptor 2.0L 4x4 AT 2020,40485.92011,diesel,2.0,0.13,0.5,0.33,0.21,0.5,1.0
4493516,imported,new car,suv,0,red,black,5,7,turbo diesel,automatic,rfd - rear-wheel drive,6.0,ford,everest,2023.0,Ford Everest Titanium 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.67,0.36,0.38,1.0
4494695,imported,used car,4x4,45000,red,black,4,5,,automatic,4wd - four-wheel drive (4wd),7.0,ford,ranger,2019.0,Ford Ranger Raptor 2.0L 4x4 AT 2019,40485.92011,diesel,2.0,0.23,0.5,0.33,0.21,0.5,1.0
4496021,imported,new car,crossover,0,grey,black,5,5,multi-point fuel injection,automatic,fwd - front-wheel drive,6.0,hyundai,creta,2023.0,Hyundai Creta Special 1.5 AT 2023,26194.39031,petrol,1.5,0.0,0.29,0.67,0.21,0.38,0.65
4496827,imported,new car,suv,0,brown,gray,4,7,,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Titanium 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.33,0.36,0.5,1.0
4496907,imported,new car,suv,0,green,gray,4,7,,automatic,rfd - rear-wheel drive,7.0,ford,everest,2023.0,Ford Everest Sport 2.0L 4x2 AT 2023,40485.92011,diesel,2.0,0.0,0.5,0.33,0.36,0.5,1.0
4497459,domestic assembly,used car,suv,45362,green,green,5,8,,manual,rfd - rear-wheel drive,7.0,toyota,zace,2004.0,Toyota Zace GL 2004,5222.683694,petrol,1.8,0.23,0.42,0.67,0.43,0.5,0.13
4500056,domestic assembly,used car,crossover,11000,white,black,5,5,,automatic,fwd - front-wheel drive,6.0,hyundai,tucson,2020.0,Hyundai Tucson 2.0 ATH 2020,33603.31369,petrol,2.0,0.06,0.5,0.67,0.21,0.38,0.83
4500230,imported,used car,sedan,12000,take note,gray,4,5,electronic fuel injection,manual,rfd - rear-wheel drive,9.0,toyota,crown,1994.0,Toyota Crown 2.4 MT 1994,3441.303209,petrol,2.4,0.06,0.67,0.33,0.21,0.75,0.08
